1  ,"Бхагавад Гита"                               ,"БГ"      ,1,5,180 ,10,"бхагавад гита бг"
2  ,"Бхагавад Гита (маленький формат)"            ,"БГ(м)"   ,1,5,180 ,10,"бхагавад гита (маленький формат) бг(м)"
3  ,"В поисках просветления"                      ,"ВПП"     ,1,4,60  ,10,"в поисках просветления впп"
4  ,"Высшая система йоги"                         ,"ВСЙ"     ,1,2,30  ,10,"высшая система йоги всй"
5  ,"Грихастха ашрам"                             ,"ГА"      ,1,4,100 ,10,"грихастха ашрам га"
6  ,"Еще один шанс"                               ,"ЕОШ"     ,1,4,70  ,10,"еще один шанс еош"
7  ,"Жизнь происходит из жизни"                   ,"ЖЖ"      ,1,2,35  ,10,"жизнь происходит из жизни жж"
8  ,"Кришна  (подарочный)"                        ,"K(delux)",1,6,1000,10,"кришна 1 к(delux)"
9  ,"Кришна I, II тома"                           ,"К"       ,1,5,185 ,10,"кришна 3 к"
10 ,"Кришна (1 том большой)"                      ,"К"       ,1,5,290 ,10,"кришна 2 к"
11 ,"Легкое путешествие на другие планеты"        ,"ЛП"      ,1,2,30  ,10,"легкое путешествие на другие планеты лп"
12 ,"Веда"                                        ,"В"       ,1,4,100 ,10,"веда в"
13 ,"Духовный учитель и ученик"                   ,"ДУУ"     ,1,5,180 ,10,"духовный учитель и ученик дуу"
14 ,"Молитвы царицы Кунти"                        ,"МЦК"     ,1,4,70  ,10,"молитвы царицы кунти мцк"
15 ,"На пути к Кришне"                            ,"НПК"     ,1,2,25  ,10,"на пути к кришне нпк"
16 ,"Нарада бхакти сутра"                         ,"НБС"     ,1,4,90  ,10,"нарада бхакти сутра нбс"
17 ,"Наука самоосознание (твёрдая обл.)"          ,"НС"      ,1,5,100 ,10,"наука самоосознание (твёрдая обл.) нс"
18 ,"Наука самоосознание (мягкая обл.)"           ,"НС"      ,1,5,70  ,10,"наука самоосознание (мягкая обл.) нс"
19 ,"Нектар наставлений"                          ,"НН"      ,1,2,35  ,10,"нектар наставлений нн"
20 ,"Нектар преданности"                          ,"НП"      ,1,5,50  ,10,"нектар преданности нп"
21 ,"По ту сторону рождения и смерти"             ,"ПСРС"    ,1,2,25  ,10,"по ту сторону рождения и смерти псрс"
22 ,"Послание Бога"                               ,"ПБ"      ,1,2,25  ,10,"послание бога пб"
23 ,"Путешествие вглубь себя"                     ,"ПВС"     ,1,4,75  ,10,"путешествие вглубь себя пвс"
24 ,"Свет Бхагаваты"                              ,"СБ"      ,1,5,190 ,10,"свет бхагаваты сб"
25 ,"Совершенные вопросы, совершенные ответы"     ,"СВСО"    ,1,2,35  ,10,"совершенные вопросы, совершенные ответы свсо"
26 ,"Учение Господа Капилы"                       ,"УГК"     ,1,4,80  ,10,"учение господа капилы угк"
27 ,"Учение Шри Чайтаньи Махапрабху"              ,"УЧ"      ,1,4,130 ,10,"учение шри чайтаньи махапрабху уч"
28 ,"Царь знания"                                 ,"ЦЗ"      ,1,2,35  ,10,"царь знания цз"
29 ,"Шри Ишопанишад"                              ,"ШИ"      ,1,3,80  ,10,"шри ишопанишад ши"
30 ,"Шримад Бхагаватм 1.1"                        ,"ШБ 1.1"  ,1,5,220 ,10,"шримад бхагаватм 1.1 шб 1.1"
31 ,"Шримад Бхагаватм 1.2"                        ,"ШБ 1.2"  ,1,5,220 ,10,"шримад бхагаватм 1.2 шб 1.2"
32 ,"Шримад Бхагаватм 2"                          ,"ШБ 2"    ,1,5,220 ,10,"шримад бхагаватм 2 шб 2"
33 ,"Шримад Бхагаватм 3.1"                        ,"ШБ 3.1"  ,1,5,220 ,10,"шримад бхагаватм 3.1 шб 3.1"
34 ,"Шримад Бхагаватм 3.2"                        ,"ШБ 3.2"  ,1,5,200 ,10,"шримад бхагаватм 3.2 шб 3.2"
35 ,"Шримад Бхагаватм 3.3"                        ,"ШБ 3.3"  ,1,5,200 ,10,"шримад бхагаватм 3.3 шб 3.3"
36 ,"Шримад Бхагаватм 4.1"                        ,"ШБ 4.1"  ,1,5,220 ,10,"шримад бхагаватм 4.1 шб 4.1"
37 ,"Шримад Бхагаватм 4.2"                        ,"ШБ 4.2"  ,1,5,200 ,10,"шримад бхагаватм 4.2 шб 4.2"
38 ,"Шримад Бхагаватм 4.3"                        ,"ШБ 4.3"  ,1,5,200 ,10,"шримад бхагаватм 4.3 шб 4.3"
